zip,ssacnty,ssastco,countyname,city,stabbr,state
01011,080,22080,Hampshire,Chester,MA,Massachusetts
01011,070,22070,Hampden,Chester,MA,Massachusetts
01011,010,22010,Berkshire,Chester,MA,Massachusetts
01012,080,22080,Hampshire,Chesterfield,MA,Massachusetts
01013,070,22070,Hampden,Chicopee,MA,Massachusetts
01014,070,22070,Hampden,Chicopee,MA,Massachusetts
01020,070,22070,Hampden,Chicopee,MA,Massachusetts
01021,070,22070,Hampden,Chicopee,MA,Massachusetts
01022,070,22070,Hampden,Chicopee,MA,Massachusetts
01026,080,22080,Hampshire,Cummington,MA,Massachusetts
01027,080,22080,Hampshire,Easthampton,MA,Massachusetts
01028,070,22070,Hampden,East Longmeadow,MA,Massachusetts
01029,010,22010,Berkshire,East Otis,MA,Massachusetts
01030,070,22070,Hampden,Feeding Hills,MA,Massachusetts
01031,170,22170,Worcester,Gilbertville,MA,Massachusetts
01032,080,22080,Hampshire,Goshen,MA,Massachusetts
01033,080,22080,Hampshire,Granby,MA,Massachusetts
01034,070,22070,Hampden,Granville,MA,Massachusetts
01035,080,22080,Hampshire,Hadley,MA,Massachusetts
01036,070,22070,Hampden,Hampden,MA,Massachusetts
01036,080,22080,Hampshire,Hampden,MA,Massachusetts
01037,170,22170,Worcester,Hardwick,MA,Massachusetts
01038,080,22080,Hampshire,Hatfield,MA,Massachusetts
01039,080,22080,Hampshire,Haydenville,MA,Massachusetts
01040,070,22070,Hampden,Holyoke,MA,Massachusetts
01041,070,22070,Hampden,Holyoke,MA,Massachusetts
01050,080,22080,Hampshire,Huntington,MA,Massachusetts
01050,070,22070,Hampden,Huntington,MA,Massachusetts
01053,080,22080,Hampshire,Leeds,MA,Massachusetts
01054,060,22060,Franklin,Leverett,MA,Massachusetts
01056,070,22070,Hampden,Ludlow,MA,Massachusetts
01057,070,22070,Hampden,Monson,MA,Massachusetts
01059,080,22080,Hampshire,North Amherst,MA,Massachusetts
01060,080,22080,Hampshire,Northampton,MA,Massachusetts
01061,080,22080,Hampshire,Northampton,MA,Massachusetts
01063,080,22080,Hampshire,Northampton,MA,Massachusetts
01066,080,22080,Hampshire,North Hatfield,MA,Massachusetts
01068,170,22170,Worcester,Oakham,MA,Massachusetts
01069,070,22070,Hampden,Palmer,MA,Massachusetts
01070,080,22080,Hampshire,Plainfield,MA,Massachusetts
01071,070,22070,Hampden,Russell,MA,Massachusetts
01072,060,22060,Franklin,Shutesbury,MA,Massachusetts
01073,080,22080,Hampshire,Southampton,MA,Massachusetts
01074,170,22170,Worcester,South Barre,MA,Massachusetts
01075,080,22080,Hampshire,South Hadley,MA,Massachusetts
01077,070,22070,Hampden,Southwick,MA,Massachusetts
01079,070,22070,Hampden,Thorndike,MA,Massachusetts
01080,070,22070,Hampden,Three Rivers,MA,Massachusetts
01081,070,22070,Hampden,Wales,MA,Massachusetts
01082,080,22080,Hampshire,Ware,MA,Massachusetts
01083,170,22170,Worcester,Warren,MA,Massachusetts
01083,090,22090,Middlesex,Warren,MA,Massachusetts
01084,080,22080,Hampshire,West Chesterfield,MA,Massachusetts
01085,070,22070,Hampden,Westfield,MA,Massachusetts
01086,070,22070,Hampden,Westfield,MA,Massachusetts
01088,080,22080,Hampshire,West Hatfield,MA,Massachusetts
01089,070,22070,Hampden,West Springfield,MA,Massachusetts
01090,070,22070,Hampden,West Springfield,MA,Massachusetts
01092,170,22170,Worcester,West Warren,MA,Massachusetts
01093,060,22060,Franklin,Whately,MA,Massachusetts
01094,170,22170,Worcester,Wheelwright,MA,Massachusetts
01095,070,22070,Hampden,Wilbraham,MA,Massachusetts
01096,080,22080,Hampshire,Williamsburg,MA,Massachusetts
01097,070,22070,Hampden,Woronoco,MA,Massachusetts
01098,080,22080,Hampshire,Worthington,MA,Massachusetts
01101,070,22070,Hampden,Springfield,MA,Massachusetts
01102,070,22070,Hampden,Springfield,MA,Massachusetts
01103,070,22070,Hampden,Springfield,MA,Massachusetts
01104,070,22070,Hampden,Springfield,MA,Massachusetts
01105,070,22070,Hampden,Springfield,MA,Massachusetts
01106,070,22070,Hampden,Longmeadow,MA,Massachusetts
01107,070,22070,Hampden,Springfield,MA,Massachusetts
01108,070,22070,Hampden,Springfield,MA,Massachusetts
01109,070,22070,Hampden,Springfield,MA,Massachusetts
01111,070,22070,Hampden,Springfield,MA,Massachusetts
01115,070,22070,Hampden,Springfield,MA,Massachusetts
01118,070,22070,Hampden,Springfield,MA,Massachusetts
01119,070,22070,Hampden,Springfield,MA,Massachusetts
01128,070,22070,Hampden,Springfield,MA,Massachusetts
01128,010,22010,Berkshire,Springfield,MA,Massachusetts
01129,070,22070,Hampden,Springfield,MA,Massachusetts
01133,070,22070,Hampden,Springfield,MA,Massachusetts
01138,070,22070,Hampden,Springfield,MA,Massachusetts
01139,070,22070,Hampden,Springfield,MA,Massachusetts
01144,070,22070,Hampden,Springfield,MA,Massachusetts
01151,070,22070,Hampden,Indian Orchard,MA,Massachusetts
01152,070,22070,Hampden,Springfield,MA,Massachusetts
01201,010,22010,Berkshire,Pittsfield,MA,Massachusetts
01202,010,22010,Berkshire,Pittsfield,MA,Massachusetts
01203,010,22010,Berkshire,Pittsfield,MA,Massachusetts
01220,010,22010,Berkshire,Adams,MA,Massachusetts
01222,010,22010,Berkshire,Ashley Falls,MA,Massachusetts
01223,010,22010,Berkshire,Becket,MA,Massachusetts
01224,010,22010,Berkshire,Berkshire,MA,Massachusetts
01225,010,22010,Berkshire,Cheshire,MA,Massachusetts
01226,010,22010,Berkshire,Dalton,MA,Massachusetts
01227,010,22010,Berkshire,Dalton,MA,Massachusetts
01229,010,22010,Berkshire,Glendale,MA,Massachusetts
01230,010,22010,Berkshire,Great Barrington,MA,Massachusetts
01235,010,22010,Berkshire,Hinsdale,MA,Massachusetts
01236,010,22010,Berkshire,Housatonic,MA,Massachusetts
01237,010,22010,Berkshire,Lanesboro,MA,Massachusetts
01238,010,22010,Berkshire,Lee,MA,Massachusetts
01240,010,22010,Berkshire,Lenox,MA,Massachusetts
01242,010,22010,Berkshire,Lenox Dale,MA,Massachusetts
01243,010,22010,Berkshire,Middlefield,MA,Massachusetts
01243,080,22080,Hampshire,Middlefield,MA,Massachusetts
01244,010,22010,Berkshire,Mill River,MA,Massachusetts
01245,010,22010,Berkshire,Monterey,MA,Massachusetts
01247,010,22010,Berkshire,North Adams,MA,Massachusetts
